Minisector,BOT,RAI,Fastest
0,278.1141767508633,279.29682585396824,RAI
1,293.43937493333334,293.26416699428574,BOT
2,247.6866867204708,243.36596873272583,BOT
3,115.97829126872082,117.0462905127933,RAI
4,128.07219217939885,133.09828580854273,RAI
5,248.41540280071038,251.740356531677,RAI
6,250.04236088888888,263.5928738443832,RAI
7,122.97067829613806,125.56282805663183,RAI
8,248.54288204444444,247.47336422648402,BOT
9,263.5655176005106,258.08343642567286,BOT
10,208.62912524926108,211.2895001496018,RAI
11,140.4225961065673,141.65242306031746,RAI
12,205.79258635750887,206.1546363319728,RAI
13,260.95543789437227,265.5547053724435,RAI
14,121.6551561169903,118.93570559854575,BOT
15,195.64373226899718,188.51065809892475,BOT
16,260.69810637575756,259.3963680800741,BOT
17,293.25547784098785,292.21044683428573,BOT
18,306.970888134872,307.59727469874684,RAI
19,312.9578947368421,314.38456334122424,RAI
20,315.11535090526314,315.87060183703704,RAI
21,169.48982767058826,175.5575037365185,RAI
22,139.06765364346305,142.66315804225783,RAI
23,205.81456431255253,202.62915817929826,BOT
24,236.16400017066667,238.89410396312627,RAI
25,264.7499968,,BOT
