Minisector,RUS,LEC,Fastest
0,262.4746194339182,263.4322802365915,LEC
1,279.5143865464627,278.842438330005,RUS
2,278.5152855833333,284.0041207851313,LEC
3,122.75758122952438,135.02600406235544,LEC
4,192.4197244027171,187.70623632539363,RUS
5,253.99949047536438,251.92085026184128,RUS
6,141.72616623195398,139.43841607846284,RUS
7,197.0156904958153,217.64575484952383,LEC
8,249.8748250122449,256.10622900825393,LEC
9,272.55085942457663,276.0112495762963,LEC
10,229.8304099435168,228.95377779402057,RUS
11,177.72469611755102,176.61188423506172,RUS
12,181.39317327295075,190.08567519006735,LEC
13,142.79811514074075,136.89922110386405,RUS
14,165.3248419768889,175.01304518936692,LEC
15,155.9978995232653,156.9004830996682,LEC
16,204.89834059393937,212.0465218634383,LEC
17,226.68556126811893,227.4888662349206,LEC
18,230.72211886657598,237.0043501159301,LEC
19,239.24299998933142,240.24048957540518,LEC
20,144.89533033476644,143.49662866010152,RUS
21,130.91435473660619,138.31042711214087,LEC
22,161.64735927211754,164.49170018690268,LEC
23,150.21812957985185,147.6586167785939,RUS
24,225.9922239423045,224.46521673015874,RUS
25,249.08181643636362,,RUS
