Minisector,PIA,RUS,Fastest
0,282.296441105581,283.81345132279574,RUS
1,298.02225464339267,300.19490638080475,RUS
2,236.75453922203857,231.23610829357906,PIA
3,119.44300951041421,114.69347532629058,PIA
4,132.45805626638557,136.6114889192728,RUS
5,254.9199146955225,255.42729025946142,RUS
6,264.7268761066667,264.0076238095238,PIA
7,121.58218720065825,125.28297578223906,RUS
8,244.88698290715445,249.32808221223888,RUS
9,258.7615845613766,250.45541966250576,PIA
10,218.227270784015,211.37277593365567,PIA
11,140.36130188093017,144.3207690992637,RUS
12,203.45205855256427,213.15351602666667,RUS
13,266.76223325990003,266.25840508962966,PIA
14,117.14021628639948,121.69250222392502,RUS
15,192.95760804503269,191.03462977559929,PIA
16,260.75992379848174,261.80441477333335,RUS
17,290.287520827232,292.2273134801762,RUS
18,302.61809018962964,306.99043859649123,RUS
19,310.19804749321787,312.33095338102834,RUS
20,313.61251321227513,316.2264285714286,RUS
21,152.46468154116062,192.2654885136265,RUS
22,163.7626058650719,141.47023235868963,PIA
23,207.33322824070234,212.19237151890812,RUS
24,238.27661096921153,238.11989443767197,PIA
25,,271.84821485714286,RUS
