Minisector,RUS,STR,Fastest
0,287.6989599613518,286.6217694887613,RUS
1,299.2642946285443,299.0918190315671,RUS
2,303.384603290236,304.91263366843776,STR
3,303.9527479525926,305.42395824761905,STR
4,189.05411425734786,180.75934898479534,RUS
5,215.66896057791035,210.37634734111066,RUS
6,264.8325249942857,261.78159973103914,RUS
7,256.21837500337386,261.11364202401654,STR
8,180.66879398170488,178.29042623510875,RUS
9,150.44807664354337,143.91896182172007,RUS
10,180.75570968561593,178.62746339148052,RUS
11,255.42707244071738,256.5426976809782,STR
12,248.55605722691317,237.80754214139276,RUS
13,225.6845149348148,222.4554060567361,RUS
14,266.04995335434523,262.70751842258534,RUS
15,164.56142657596962,165.2755539045603,STR
16,210.66558804020806,214.75288861209594,STR
17,233.8825087930736,238.83564341588115,STR
18,127.95860458528138,126.10997402649151,RUS
19,237.92618665928853,233.1411371256917,RUS
20,274.6626460744589,274.36979160969696,RUS
21,244.9227375648819,235.6514805733389,RUS
22,137.3187676892073,134.2471138423764,RUS
23,206.47733156017281,200.02121783762195,RUS
24,267.439128277655,264.47745525388865,RUS
25,,279.0125002666667,STR
