Minisector,HUL,MAG,Fastest
0,298.9879998933333,300.6930182269388,MAG
1,306.1179087557168,311.39634779076925,MAG
2,155.20041821165384,157.2254763052101,MAG
3,220.15622108645675,214.11558926524413,HUL
4,271.63987372997195,280.41659633333336,MAG
5,292.46357755981575,307.11055643697483,MAG
6,294.89259691838953,319.2457144990476,MAG
7,173.97231337583068,162.58732593982592,HUL
8,121.91742381714286,121.8130977747972,HUL
9,250.0929606781355,250.28260832,MAG
10,285.22729575502245,296.44289700050876,MAG
11,294.17088886044445,308.01330930539683,MAG
12,139.79375838671297,135.10335517520076,HUL
13,189.42413661904763,187.25865845343915,HUL
14,253.708835978836,253.19485376533333,HUL
15,190.66267355300127,190.45925072996337,HUL
16,205.71966075154324,201.59653010490496,HUL
17,196.2275372857143,199.9753065976889,MAG
18,233.8479390939337,232.57690272,HUL
19,273.61065476190475,272.73312803151464,HUL
20,291.29334713405154,293.89233107238095,MAG
21,252.03508130901153,254.44618367558897,MAG
22,214.9848465001607,210.55658849231276,HUL
23,202.3079021932259,197.651503188937,HUL
24,263.39024902577495,266.6394531396949,MAG
