Minisector,RUS,HAM,Fastest
0,294.298249984,293.42067343946127,RUS
1,207.09914936565656,212.02559322723917,HAM
2,141.9098323661516,142.04509651229924,HAM
3,217.10415584415585,217.92819168162714,HAM
4,161.0786422002782,160.34824718753785,RUS
5,184.78537374337662,183.33173404848483,RUS
6,253.6007837171227,247.94889142454758,RUS
7,277.1544668908151,272.8791607674459,RUS
8,282.9093694335097,279.0726661426686,RUS
9,267.3787831675186,261.6580785740289,RUS
10,253.99993571676492,242.16023334863635,RUS
11,245.7747892278697,244.24325118423272,RUS
12,208.877175787961,211.88327836586825,HAM
13,134.00586306009583,138.54633580382628,HAM
14,144.63403515670302,149.78012357417313,HAM
15,177.55694822162965,173.64761526667488,RUS
16,250.54436870927103,245.54847121402386,RUS
17,231.6338289719662,238.38896975413627,HAM
18,112.53959254925012,115.3726389760521,HAM
19,203.344598043366,191.28200450424242,RUS
20,198.61701201586027,201.4756700055526,HAM
21,234.38888234240363,229.50830885295727,RUS
22,263.43168232903827,257.85559893186826,RUS
23,279.96933152999287,276.4797929851538,RUS
24,289.5482239494431,288.26423542137115,RUS
25,,292.4750002285714,HAM
