Minisector,NOR,STR,Fastest
0,302.7773359030303,306.25526416698415,STR
1,230.78187451481824,210.41510622657594,NOR
2,135.63890714124778,130.02279316813048,NOR
3,219.24820695804368,215.50255067204924,NOR
4,264.13890248804233,263.51950987230657,NOR
5,287.14950534253967,286.64723080493826,NOR
6,300.0305273703156,300.9596995377778,STR
7,276.69231821027074,265.4582638397242,NOR
8,173.23310789082825,167.31917824149224,NOR
9,241.1883994259321,240.31566487276373,NOR
10,274.3091077851429,270.87648828457077,NOR
11,273.7088215051543,250.40643851936508,NOR
12,220.78412440071773,208.28779185502063,NOR
13,132.71382018717725,126.15467846237257,NOR
14,126.5498895607444,124.41591473866283,NOR
15,168.71691884813393,158.88902427480238,NOR
16,126.16280757651872,139.67946842587244,STR
17,234.4353022576441,233.8253033807518,NOR
18,179.58409553627777,164.59000350408016,NOR
19,161.09130422179894,171.83005490855797,STR
20,248.94252452562193,249.96276807958466,STR
21,276.4327765900187,276.40959100083023,NOR
22,291.19774010753247,291.8530000463119,STR
23,299.9904433038184,300.4462204495238,STR
24,302.6290102320921,303.2283860779221,STR
25,304.0,,NOR
