Minisector,MAG,LEC,Fastest
0,301.90717949307793,291.6894671067105,MAG
1,319.7908856,303.0333137833873,MAG
2,328.82307184782337,308.2472222222222,MAG
3,329.41893596190477,305.75578277258484,MAG
4,165.4460521379686,166.48607512645626,LEC
5,201.6757055723257,208.13990132949039,LEC
6,239.47089532000717,227.6507207426854,MAG
7,263.14590147018185,261.4291110738539,MAG
8,278.766353433263,259.6802796394188,MAG
9,164.43131552099797,155.82218311104253,MAG
10,225.17303662667,227.10163127495298,LEC
11,142.85055870402513,135.87048190126688,MAG
12,217.9147386939635,224.94892441342097,LEC
13,208.15393338023668,191.72547335188324,MAG
14,206.7489084920364,213.55571620133205,LEC
15,248.9242547711956,237.2320996785372,MAG
16,255.30936113586614,257.3435938961689,LEC
17,281.58068305302413,284.2165455735012,LEC
18,157.1387280693808,132.42410165123016,MAG
19,153.34087258317157,163.87326146703302,LEC
20,141.8873854632165,143.50974602732077,LEC
21,173.21671268840933,159.33897154927567,MAG
22,118.42022408688845,118.96199886151742,LEC
23,217.81339138669216,227.90829138799967,LEC
24,268.5274921945227,270.1068295243851,LEC
25,281.48333226666665,,MAG
