Minisector,LEC,GAS,Fastest
0,292.52812501333335,310.35097348822455,GAS
1,292.9972147746238,318.40931356862745,GAS
2,293.43859649122805,324.0630685073223,GAS
3,230.16354663425957,219.29747029724848,LEC
4,227.6772427076923,221.72523927369122,LEC
5,113.28025362854167,112.2375878291609,LEC
6,215.05026536296296,212.2767643426565,LEC
7,267.7232888090107,267.8746589895692,GAS
8,250.63043311304347,247.08636097354662,LEC
9,115.14203134366748,112.75327406903287,LEC
10,233.02309585066666,233.3931294081949,GAS
11,252.53869329637183,249.25996396521737,LEC
12,137.04489660952382,135.2099591751657,LEC
13,209.60737511781858,207.510559132094,LEC
14,268.22491522902493,271.19085524948395,GAS
15,229.07678054854534,236.49945426285714,GAS
16,155.52934753748445,150.16626762005362,LEC
17,241.62714877848936,239.8711797777778,LEC
18,125.92650629623648,129.4945280455143,GAS
19,144.18202181464707,144.69613548548617,GAS
20,192.10490779366998,171.00882174117646,LEC
21,260.22159122424245,254.38819902333012,LEC
22,273.9862206170003,274.994189199093,GAS
23,279.6494049015873,280.8941367390476,GAS
24,285.92812506666667,288.6216820463533,GAS
25,288.0916661333333,293.33095192380955,GAS
