Minisector,PIA,LAW,Fastest
0,274.8436364509091,300.9631125253995,LAW
1,309.732776768,306.624223642236,PIA
2,288.17851151809526,296.19207346707896,LAW
3,169.66959391727215,173.4861753504592,LAW
4,218.96967490324784,211.4401283871787,PIA
5,194.9232107008547,196.88626475595132,LAW
6,180.2233568824117,176.31989507263006,PIA
7,213.05157837575757,195.06301464776013,PIA
8,253.0242347755102,251.825627500234,PIA
9,244.88059532867726,264.52202548405796,LAW
10,177.4831440406668,167.79846732167752,PIA
11,237.47967945922275,225.1521989527361,PIA
12,119.11126843001789,129.30163608956596,LAW
13,243.31871541241367,217.3800035371852,PIA
14,274.6749378220408,273.922494782561,PIA
15,270.3792620948088,273.7350421930159,LAW
16,204.59516821177675,214.05561349350265,LAW
17,193.38278324356006,179.68487714127843,PIA
18,288.5275205250153,273.50563243332056,PIA
19,315.92839277714285,313.2984556096475,PIA
20,310.9653769396825,325.73429100179845,LAW
21,291.67201738018633,310.0626090848767,LAW
22,255.66380598814814,281.5694164431238,LAW
23,124.59802995734826,122.74604522801783,PIA
24,245.49864364062495,226.56955742557554,PIA
25,,283.49199546243386,LAW
