Minisector,SAI,NOR,Fastest
0,269.61555428131373,274.75472158776336,NOR
1,288.1770998789035,292.9058367216971,NOR
2,288.2587656606211,292.803332418355,NOR
3,181.66030546342353,169.53534308098514,SAI
4,124.09028513102453,116.98481762666768,SAI
5,234.3883842871795,233.83825422593856,SAI
6,274.7672968870037,288.6925582759635,NOR
7,281.8261957538717,300.7751045576331,NOR
8,188.00079706950098,164.53663420350878,SAI
9,145.37985411047705,138.6575112031842,SAI
10,245.37847145818182,248.60262171992707,NOR
11,281.307872414409,286.93267093334214,NOR
12,296.34228170307455,289.7649223086003,SAI
13,284.0869574432323,267.79373851161824,SAI
14,295.7854707934199,289.3429678908107,SAI
15,293.3959648748538,290.20259981449277,SAI
16,248.10756243482004,229.69399175322536,SAI
17,218.03220441520733,224.5006757696414,NOR
18,270.20287867580504,284.2313663684674,NOR
19,293.0289255204294,314.4556997162482,NOR
20,295.77618097683745,309.8379956311919,NOR
21,234.39764276825434,223.5277236228258,SAI
22,254.32990775454093,256.3177025890695,NOR
23,139.09525352795737,126.10811676456728,SAI
24,215.90815656462877,224.57494503441052,NOR
25,253.218748,,SAI
