Minisector,PIA,HAD,Fastest
0,251.17189466893672,248.73335719963148,PIA
1,136.29575279343567,132.27060958148428,PIA
2,280.78467449766237,279.36643876063494,PIA
3,313.8910914289216,320.7228609594342,HAD
4,298.38418624,298.6464783551323,HAD
5,321.08412527768115,318.4849835409636,PIA
6,324.2734034717582,321.9217128237037,PIA
7,318.5317316806324,314.32638010007213,PIA
8,185.603688828409,199.84621711934898,HAD
9,192.1352612596486,190.9661637704127,PIA
10,167.91604886484805,188.20043141130859,HAD
11,173.70566283344982,159.88263297416782,PIA
12,248.61242069049229,237.9659497807782,PIA
13,263.2140419312799,261.2042161225036,PIA
14,262.69468585063333,271.18899409589824,HAD
15,248.56195593650793,262.9065307716129,HAD
16,172.7792623639827,167.11504023197313,PIA
17,187.6728238526281,183.70270673666633,PIA
18,249.7872044236991,241.25686482202784,PIA
19,294.77082539288494,299.5421855043899,HAD
20,316.28499469446695,322.593519515951,HAD
21,293.6128063830659,313.4782606879227,HAD
22,277.86238534433863,301.29562562076245,HAD
23,235.25895526279635,269.9011911622073,HAD
24,120.18612095629979,113.52667522870723,PIA
25,,217.023165824,HAD
