Minisector,RUS,OCO,Fastest
0,295.11083703161904,278.34002788142146,RUS
1,311.3297949103399,289.17610892751884,RUS
2,320.7392387370308,294.69793201777776,RUS
3,316.6348874856079,293.35934274091505,RUS
4,145.131477793167,159.9448364334226,OCO
5,205.018384451046,200.5717172591078,RUS
6,230.79356526222224,220.015049624315,RUS
7,261.902409587134,259.55976449046057,RUS
8,235.12980182177517,240.96001689606055,OCO
9,158.00816452407474,150.03950391633228,RUS
10,215.27150331455525,219.89136342749015,OCO
11,127.3544479260937,128.25218836450227,OCO
12,226.64937859635313,225.58929501333333,RUS
13,172.37901603374627,166.30582364641162,RUS
14,213.95977506170274,208.09010197920153,RUS
15,223.55215767785725,225.10026385167563,OCO
16,256.13579879575303,248.80001738558795,RUS
17,273.5182543714927,277.7665700610128,OCO
18,146.47321393471165,143.9337525241582,RUS
19,168.25805895294263,158.13027567239482,RUS
20,140.64697536174148,137.8356791544232,RUS
21,150.91923913189734,150.00186417219766,RUS
22,106.66004126350431,106.66608779375277,OCO
23,216.2973295533041,211.77648271070913,RUS
24,263.5794406685041,259.0228124203159,RUS
25,,270.9677419354839,OCO
