Minisector,RUS,BEA,Fastest
0,283.81345132279574,284.83803100952383,BEA
1,300.19490638080475,300.185423079873,RUS
2,231.23610829357906,235.77218901542852,BEA
3,114.69347532629058,113.97550214823248,RUS
4,136.6114889192728,136.6174748357897,BEA
5,256.4078679749404,252.82392484554342,RUS
6,259.5676238095238,261.3930877596265,BEA
7,124.46863529788385,123.06806125433361,RUS
8,249.32808221223888,245.99892392675608,RUS
9,250.51387967717943,252.46984007794873,BEA
10,209.97873372447137,200.018177795747,RUS
11,144.3816607106441,138.15508133093778,RUS
12,217.57018269333332,204.53624543182684,RUS
13,265.1042380496296,267.4339210239703,BEA
14,119.62035244760352,122.17769089191658,BEA
15,192.5890682416194,192.5207968949459,RUS
16,263.5430722074074,260.13450181972036,RUS
17,292.890684823716,290.41244178406015,RUS
18,306.99043859649123,304.47861500990507,RUS
19,312.58514829712084,312.09490731851855,RUS
20,316.35552631578946,313.2877563819287,RUS
21,181.17451804674425,186.95277436636385,BEA
22,146.82928231041845,145.3644236765151,RUS
23,212.19237151890812,207.2376112036981,RUS
24,239.45438442016507,240.4674829450093,BEA
25,272.2142857142857,271.70999808,RUS
