Minisector,RAI,VER,Fastest
0,235.36296355555555,235.13549018938704,RAI
1,285.9067179218574,282.35762984588746,RAI
2,298.0747024761905,293.63512313470034,RAI
3,303.13401794285716,296.441341991342,RAI
4,273.3605684095014,267.79596389233956,RAI
5,176.21921986499441,173.76772546392584,RAI
6,265.8526292952381,259.24806353812744,RAI
7,283.3672401121329,276.60212214327123,RAI
8,220.61633574421768,224.59090393057883,VER
9,219.98908190506324,219.966112,RAI
10,189.1076471180375,191.79042198281203,VER
11,227.76682240000002,223.78144018168499,RAI
12,209.40187209750658,212.1643419328651,VER
13,217.25950703164008,219.66871678165253,VER
14,223.78642113580247,221.6763090088923,RAI
15,184.58476140698414,185.66304299176397,VER
16,248.81201518397393,247.85457767032966,RAI
17,291.75102843290045,286.8307036102501,RAI
18,308.57062522666666,300.1284082973865,RAI
19,294.6604406428088,288.97091276190474,RAI
20,129.87344524522823,134.419142851985,VER
21,167.67634956824543,174.32120760545655,VER
22,149.76452387164525,152.90679798562863,VER
23,206.77606681123632,209.32710509159645,VER
24,142.79241348207574,150.09630061378235,VER
25,,185.61875146666665,VER
