Minisector,ALO,GAS,Fastest
0,293.28112101847876,294.7827147511062,GAS
1,300.60122820661246,302.518541592381,GAS
2,222.57678789262545,220.45376619886804,ALO
3,139.67561532993062,135.16670857933437,ALO
4,223.15230696543304,214.04920676834683,ALO
5,166.70418689751122,163.39534309977324,ALO
6,178.27218401215654,171.40253508153108,ALO
7,252.7315013309102,249.4049258855138,ALO
8,279.2625189211808,278.49586425156735,ALO
9,286.82427200454543,287.4926510107896,GAS
10,256.5960408410831,253.75622124350875,ALO
11,243.8945308781395,240.35484148833584,ALO
12,245.18515258794187,239.27313549510936,ALO
13,215.99040739961907,209.39734933192705,ALO
14,132.8656605753921,132.233967580202,ALO
15,142.64717152172926,134.49153464401633,ALO
16,185.18875001904763,180.378362564896,ALO
17,246.76723414518517,256.77599349857144,GAS
18,258.3002535755389,241.80096157861814,ALO
19,118.69343650026232,115.46575139523084,ALO
20,193.4277679388543,201.38547872486978,GAS
21,201.51540130993232,192.83607635558275,ALO
22,227.57176012334935,239.06140120780205,GAS
23,261.6938905722488,272.73239900298904,GAS
24,277.9268785280548,294.6153097720946,GAS
25,288.72618971428574,,ALO
