Minisector,SAI,RIC,Fastest
0,321.6554026816506,330.4401903518286,RIC
1,328.53409090909093,345.77773629059726,RIC
2,324.5268542251026,354.6400595657143,RIC
3,204.85844379099098,214.65101976647406,RIC
4,120.46691197978983,114.06438898316948,SAI
5,264.8270592490508,263.9444697003173,SAI
6,301.37226586190474,301.58909978509445,RIC
7,309.6542184679089,320.2938406956522,RIC
8,274.68146246424556,283.8303028323512,RIC
9,146.87947643128842,145.9950447079028,SAI
10,222.03742764329004,220.93388312409377,SAI
11,219.15460191869633,216.19638539146933,SAI
12,202.58749884444444,196.38648888612022,SAI
13,270.43778783369333,267.0220124222169,SAI
14,304.9479972167328,307.0293545126294,RIC
15,313.2031197537958,322.3994943897445,RIC
16,262.0933020952381,260.91815428571425,SAI
17,210.52363105025137,201.2561108838625,SAI
18,274.3164289584762,267.34783976296296,SAI
19,306.36436958023387,307.54650581808056,RIC
20,315.33020189151136,322.8962585251701,RIC
21,300.9460167616841,311.0072483065665,RIC
22,213.18112038592065,206.8509035215222,SAI
23,266.5996701232358,262.21615297864935,SAI
24,303.819125344,305.4447916,RIC
