Minisector,LAW,HUL,Fastest
0,238.14666678857142,136.1361076329129,LAW
1,216.87047683091788,179.31370449119342,LAW
2,207.30493599726498,229.05703491601733,HUL
3,231.9941472888889,259.7476982315789,HUL
4,251.50324531649122,282.71228085146197,HUL
5,269.42678591564624,302.7688891733333,HUL
6,222.75780750188187,313.0850242164251,HUL
7,132.07540134857143,317.72333354666665,HUL
8,122.81280685252526,325.85964288,HUL
9,172.77765621854573,330.21590933333334,HUL
10,150.84087126914227,302.78933538823526,HUL
11,106.07548778146342,183.27171372789115,HUL
12,125.7228820888889,97.91902812912801,LAW
13,178.19032045948717,117.64988866719017,LAW
14,154.75,195.67004953025642,HUL
15,131.67927681191603,246.29505045814537,HUL
16,154.519750445103,262.02047661278914,HUL
17,208.95841720076191,236.32478997333334,HUL
18,245.21476247510205,154.26797654452216,LAW
19,280.45906865452895,116.0411674288404,LAW
20,293.3841146666667,149.3658970532213,LAW
21,305.09157901473685,193.86043570086957,LAW
22,318.7903560708907,235.42195703652175,LAW
23,323.0,264.5242256689279,LAW
24,324.3378648051948,281.36842105263156,LAW
25,313.1500032,296.1888241694118,LAW
26,,303.86435188148147,HUL
27,,265.9444266666667,HUL
