Minisector,RUS,PIA,Fastest
0,286.93916974288334,289.38222248296296,PIA
1,289.71378085361505,296.52481834713444,PIA
2,162.48103796727042,167.51651496320832,PIA
3,222.24234030137566,221.87008159815628,RUS
4,271.11012208763856,270.53243821883194,RUS
5,291.40009959394956,292.8957123413333,PIA
6,295.12267846597945,297.5039356444444,PIA
7,163.9980721671499,170.99659758731934,PIA
8,123.88329692130621,125.9905546623732,PIA
9,253.5061810953623,251.48444309654138,RUS
10,283.40369762666666,289.52170047781806,PIA
11,296.9421284088889,300.6843866495548,PIA
12,151.52374812420084,145.96735519301927,RUS
13,188.31201719536492,195.49007074128934,PIA
14,254.6922987980724,254.25535903166556,RUS
15,201.46313216646465,198.14260813980462,RUS
16,209.22620101383387,217.86754412711494,PIA
17,214.68043350588235,213.82214754044796,RUS
18,236.37850231025195,243.70749363580953,PIA
19,273.6238534367291,279.10839557078054,PIA
20,294.55042782497503,296.67703090285715,PIA
21,263.1791552195139,259.0635513985097,RUS
22,218.47436277598544,226.08824074331994,PIA
23,204.99386098924768,207.33114921242236,PIA
24,261.77294164462586,265.6355897914702,PIA
