Minisector,STR,HAM,Fastest
0,306.25526416698415,300.08032960525435,STR
1,214.5958615379048,228.93905938285712,HAM
2,129.9356906500729,130.15851961184296,HAM
3,215.50255067204924,218.37009856914287,HAM
4,262.05582223765026,260.51397192301386,STR
5,284.7042533434741,283.64663421911087,STR
6,300.66321127529415,295.7461344578151,STR
7,267.7105825152951,276.87798370970773,HAM
8,167.31917824149224,171.7625130573435,HAM
9,237.89201747740262,235.82019453850467,STR
10,269.6315107156661,270.6173390886827,HAM
11,252.2335344206561,244.13791152975026,STR
12,208.62872929502063,197.77195259981633,STR
13,129.06240620459886,119.60031978728443,STR
14,121.54091482287336,122.82820915095114,HAM
15,171.04650622108403,156.95684481811034,STR
16,127.17406416880671,122.98425343591207,STR
17,229.0681630057825,223.82320031900582,STR
18,177.20778136423127,180.88884406607792,HAM
19,160.8457851372646,153.02423322466743,STR
20,244.9419630629665,245.89181494233765,HAM
21,273.40023911942586,270.09215442325007,STR
22,290.3251814423903,286.28772889142857,STR
23,299.8893891128889,295.0275408815686,STR
24,303.07319123116883,298.5966146,STR
25,304.1727278545455,299.88194453333335,STR
