Minisector,HAM,NOR,Fastest
0,311.4287035851852,305.92914760083937,HAM
1,238.84523398095237,232.20240702939958,HAM
2,136.77136368617246,130.54769835632527,HAM
3,220.70328900295917,217.417833216,HAM
4,264.64234607835715,264.78578947368425,NOR
5,290.7865199327731,288.94473678596495,HAM
6,301.5416391403249,302.7046296296296,NOR
7,283.21162487017546,279.4089473684211,HAM
8,179.14597415553226,172.05801713809524,HAM
9,242.38645114195012,239.4679077250479,HAM
10,271.2674531664722,273.4891666666667,NOR
11,260.1344590997494,263.98833333333334,NOR
12,209.6225281206707,202.71043584624647,HAM
13,127.53898313833815,124.80130413424037,HAM
14,128.25770561870797,119.21236242837307,HAM
15,161.14922021640746,165.7211094664845,NOR
16,127.14192532071772,118.095126000664,HAM
17,233.30549445145667,225.6635868289855,HAM
18,183.6870655938056,180.23044624285237,HAM
19,165.3140739662932,161.45367265595013,HAM
20,250.7153419151515,248.78636363636363,HAM
21,279.96299568253966,278.40813518682944,HAM
22,298.0236767177346,294.2031862588235,HAM
23,315.083088627451,302.8460784313725,HAM
24,324.1308127398966,305.78771929824563,HAM
