Minisector,RAI,GRO,Fastest
0,276.1204650605557,268.888571925677,RAI
1,293.7905680753584,287.5917599551348,RAI
2,301.6098207560679,295.7709280886026,RAI
3,130.7866083078298,132.30248493316194,GRO
4,194.46322437613614,190.18136676636152,RAI
5,261.1275580105663,256.08018347667326,RAI
6,142.22402730824345,143.8267539431825,GRO
7,203.70230925831143,195.4329510068529,RAI
8,263.38291268697174,256.75372076422053,RAI
9,284.8518231333333,280.25969265905394,RAI
10,236.56821911569492,228.84420253267325,RAI
11,188.85383665808905,179.11369655514812,RAI
12,190.19947618599798,180.9755406231534,RAI
13,148.13867114297736,145.54080101558648,RAI
14,172.92635278380507,168.98276131234942,RAI
15,159.67312192112718,153.89865141899807,RAI
16,209.7768124360351,205.01225224876197,RAI
17,237.93504876109463,230.0450785672086,RAI
18,239.8059039921711,227.20153173700842,RAI
19,256.9129724991625,252.44108056211113,RAI
20,142.2492002114188,138.4863327487501,RAI
21,138.15756358713358,138.6206902553708,GRO
22,166.7348256902939,161.3496706841267,RAI
23,151.08685182581635,143.57839994786954,RAI
24,231.47848675285007,219.93129212714032,RAI
25,,254.67708266666668,GRO
