Minisector,BOT,ALB,Fastest
0,319.7487155729323,320.1284231556663,ALB
1,327.2125,326.99953507032444,BOT
2,323.8370699936508,322.0502383009524,BOT
3,167.34453977512507,167.70060096146813,ALB
4,140.01978873924799,135.94743108998776,BOT
5,271.47310970289703,268.7600492503556,BOT
6,302.02810759164976,301.1035374017403,BOT
7,315.2281250666666,309.075,BOT
8,249.51784271992773,257.9682619977143,ALB
9,156.3597515229451,156.02973076178915,BOT
10,224.86050862983322,223.63664108140162,BOT
11,232.23747350823774,224.87709736780045,BOT
12,210.57481695792904,204.3776201204301,BOT
13,279.19873238260874,277.00984833939395,BOT
14,310.0471175136869,307.8419640380952,BOT
15,316.6817981192982,316.7803296676719,ALB
16,260.91475595555556,252.37266509402366,BOT
17,215.5724509335409,220.89893377933365,ALB
18,277.9448055757576,279.3985764752892,ALB
19,308.58509902509945,310.73842378735435,ALB
20,321.7124060551379,322.24868429473685,ALB
21,306.2959092364648,293.5198805308845,BOT
22,219.52032028899833,213.62939226622876,BOT
23,273.5589885866329,273.3334700079485,BOT
24,306.2400794920635,305.7009525180953,BOT
