Minisector,ZHO,PER,Fastest
0,289.94169350498277,292.3278545523809,PER
1,300.1150445631615,303.1945041672317,PER
2,298.50682334983804,297.76603140849994,ZHO
3,182.32349070370915,177.47157713704257,ZHO
4,202.29584994018063,207.6199625141684,PER
5,201.59211931407802,203.74266047019373,PER
6,263.97160119272337,262.48548188904005,ZHO
7,249.1968729985149,248.4103894986689,ZHO
8,203.7514634411345,199.3903149357037,ZHO
9,204.16942892921335,200.0562410408405,ZHO
10,144.49880918808992,147.51114705456757,PER
11,206.15120271434475,182.31374831435866,ZHO
12,175.51142471287358,188.79270892727104,PER
13,239.70576585674772,237.63244978992407,ZHO
14,175.69327357172722,170.05351033394257,ZHO
15,232.6482972991453,237.61995723493317,PER
16,274.0092718772726,275.7975591111111,PER
17,275.31754077229436,276.28298105650794,PER
18,264.3576442380693,263.44718990878823,ZHO
19,249.6727951941818,249.88461940869567,PER
20,252.5351105307956,252.52829515854057,ZHO
21,254.57942877878867,259.9126814565631,PER
22,221.82406447610245,194.35133940646125,ZHO
23,193.37066566114945,207.10837100061522,PER
24,267.11760391600495,270.3545165417544,PER
