Minisector,OCO,PER,Fastest
0,320.77381928663544,322.96656746031744,PER
1,329.14311573333333,328.7344697212121,OCO
2,324.9343614060606,324.1515151515151,OCO
3,209.4695682546062,204.48422367029502,OCO
4,115.50079999280238,120.70112092059497,PER
5,262.1608770947474,268.51975308641977,PER
6,299.88041141091975,302.23370931381663,PER
7,311.6298261561511,312.4115942028985,PER
8,284.49633339733333,278.68605769230766,OCO
9,143.9902232087871,144.68720600806432,PER
10,221.1139725846966,226.2701147195647,PER
11,220.35186416930551,213.38333333333333,OCO
12,201.39563672294526,200.47690503749718,OCO
13,267.5479478511665,269.7263682602647,PER
14,304.15036266666664,305.6855518898535,PER
15,315.80985405501,315.4559782956522,OCO
16,268.50129542312925,266.4066214591952,OCO
17,204.18352602776267,201.61690480761905,OCO
18,270.04492633229506,270.7057249185723,PER
19,304.8587737200931,306.4678819111111,PER
20,316.75572919999996,316.39629013688017,OCO
21,306.9246242363441,303.53229166666665,OCO
22,209.40204455914275,207.9510388162879,OCO
23,264.52291606352514,263.934126984127,OCO
24,303.1615297613362,304.63716672,PER
