Minisector,VER,LEC,Fastest
0,301.48541701333335,287.14641162220744,VER
1,313.3593136313725,299.06067442756085,VER
2,167.68039756444836,170.29278265238096,LEC
3,220.42409039963945,216.3780228119779,VER
4,276.60148574969196,266.46944422312924,VER
5,299.7807020350877,286.0276316631579,VER
6,311.8822200245542,292.92629400740185,VER
7,185.74225458365117,204.11834368677248,LEC
8,124.03404157020553,113.89670262643071,VER
9,245.7579182107342,241.77305881573497,VER
10,280.55375029333334,277.46890748232744,VER
11,291.51269366602594,291.49320157192983,VER
12,154.34684584195625,155.1332860501544,LEC
13,190.27949240434143,181.51821405968255,VER
14,257.59781785396825,254.528596298064,VER
15,204.23243360005702,207.70437724889248,LEC
16,212.77358203608222,214.08423074141243,LEC
17,211.5725933425359,220.92103817100335,LEC
18,240.43376522221897,239.6252977177489,VER
19,276.13092115087716,271.08056182827187,VER
20,292.29946762105266,288.6093574677725,VER
21,262.28644589914444,272.59048688312134,LEC
22,222.21014432463767,230.02708246349206,LEC
23,202.8290743637752,195.5209030869472,VER
24,269.45145872,256.7731513390767,VER
25,,277.75833386666665,LEC
