Minisector,HAM,PER,Fastest
0,279.22326349229417,284.3753434086478,PER
1,127.83786877390541,132.40416017790827,PER
2,155.0369464959638,160.0261589990715,PER
3,211.81946121674946,227.79539013808287,PER
4,168.19280331844158,163.32300463806433,HAM
5,242.84489026346182,240.71735390902163,HAM
6,216.76609832248855,224.41560557415326,PER
7,136.07994388808646,137.06779114212242,PER
8,231.43330400609526,231.5908383453804,PER
9,272.597293741936,271.8261945722231,HAM
10,282.53481438814816,282.58978953415595,PER
11,155.0532555122819,149.9169386855914,HAM
12,214.7934086814815,222.0445618937753,PER
13,265.5600564631579,266.6321912655393,PER
14,267.3686734239446,266.9413460300529,HAM
15,102.52746857847785,102.6115723449419,PER
16,214.07550012383552,221.61661247907648,PER
17,267.59949206349205,270.3457318495722,PER
18,289.19134912645825,289.9551589186299,PER
19,300.84633759253035,299.1040423750778,HAM
20,304.26715686274514,304.45925209,PER
21,286.7288428925647,301.5916658871795,PER
22,155.38887761824088,156.4040569815757,PER
23,228.7346136628036,236.15546724598894,PER
24,273.89343869885806,273.1342986744437,HAM
