Minisector,RIC,GAS,Fastest
0,259.6007450732198,261.1467705426046,GAS
1,134.24075709410226,131.62571075571017,RIC
2,266.68817613063936,268.5934884675742,GAS
3,308.55227448163265,314.6821853006803,GAS
4,307.11320810506777,314.94876524367857,GAS
5,314.7969135407407,325.0934523428571,GAS
6,320.3854356290268,331.2264660246914,GAS
7,319.0748845233057,325.23244874895323,GAS
8,199.33611779346631,184.36699854939488,RIC
9,200.24596849475682,196.37959673968453,RIC
10,182.84994605622103,178.05932144457142,RIC
11,167.99915695125796,170.39761907918867,GAS
12,254.0691193950655,254.3516993941444,GAS
13,274.19363372235085,271.6184344242424,RIC
14,277.1569958000481,278.7919562495802,GAS
15,272.3061206187657,266.09970320369695,RIC
16,189.93786569476592,184.62024095886935,RIC
17,196.53783074231535,191.3746970097591,RIC
18,246.23616130372966,248.16879792151707,GAS
19,290.8038192266667,291.07055487602014,GAS
20,313.4222731241308,312.65591680775725,RIC
21,320.3441358222222,319.1672839506173,RIC
22,317.99352746080876,307.05785931705617,RIC
23,264.6329544219336,227.31278190597922,RIC
24,116.19031692346978,118.06709955694112,GAS
