Minisector,NOR,RIC,Fastest
0,297.286573708642,297.37957144990474,RIC
1,155.97438663654546,158.19422928881082,RIC
2,150.2485527414565,149.11906043333272,NOR
3,223.18370721784552,223.09986931960376,NOR
4,286.8079531763809,287.7651904121905,RIC
5,289.5328705580247,292.65972222222223,RIC
6,141.2883083516395,144.6847850644732,RIC
7,140.9644588589051,139.51048792990477,NOR
8,145.2163168254354,145.94108363070944,RIC
9,177.22008172354418,179.8081414768739,RIC
10,132.40599420311503,129.6232370803696,NOR
11,124.62077624798958,124.96388114782984,RIC
12,164.28743871594423,163.2318908377041,NOR
13,269.6175994572481,270.48145934109345,RIC
14,295.5499576801475,291.2647204136306,NOR
15,150.8365288747588,150.75224337127796,NOR
16,211.0936163106397,213.4755448480685,RIC
17,164.39400635027735,165.14041585886338,RIC
18,270.1263108959574,271.89102564102564,RIC
19,297.5316906605714,297.0235964693198,NOR
20,311.6336945785506,310.155753968254,NOR
21,319.52632576969694,318.0232410578976,NOR
22,322.8126669636899,319.81060606060606,NOR
23,332.3437495834268,321.6666666666667,NOR
24,332.9806183377708,320.5983695304348,NOR
25,,317.8041674666666,RIC
