Minisector,RIC,STR,Fastest
0,307.482579754946,310.8460456293218,STR
1,232.31435062003712,222.79087236232735,RIC
2,187.48090804722955,187.0139363145348,RIC
3,260.7837901598797,261.58880981308226,STR
4,215.16136909593632,212.14304125977011,RIC
5,105.62842804981716,106.2131835437574,STR
6,168.29303088688823,162.34470596424023,RIC
7,252.5093649986317,255.06695956649847,STR
8,290.9474291748571,290.6402991033155,RIC
9,315.32777396825395,317.93043917837576,STR
10,325.00865687997646,325.5746678821832,STR
11,205.5174193677037,206.98658179537705,STR
12,139.71999912218223,135.0004882486637,RIC
13,252.43862050163216,252.7523139557576,STR
14,290.87000777142856,290.1797970615208,RIC
15,302.5989314527659,302.55129020326905,RIC
16,299.34519091737246,301.140041696,STR
17,249.5155370337516,251.86581573456868,STR
18,168.34850103354214,171.02596236429807,STR
19,170.01249202626707,172.02616261724583,STR
20,175.45680995613606,182.60770010689754,STR
21,238.12148711111112,242.49472160340991,STR
22,109.80065037371443,113.40776288787038,STR
23,194.39859651533646,197.42886873489178,STR
24,281.3548409717157,273.7947115247719,RIC
25,299.0,289.9090920727273,RIC
