Minisector,VER,STR,Fastest
0,296.3139273414588,304.95978258550724,STR
1,286.53168559720893,276.819532359599,VER
2,185.15905208828434,162.17036121769033,VER
3,212.5828717196215,199.18861956478278,VER
4,226.6097367082061,231.64735279686275,STR
5,267.501999744,268.6311442821554,STR
6,241.66626470127233,222.05443082740945,VER
7,218.7329439681567,202.16607989120592,VER
8,176.55076389523714,158.99066258991542,VER
9,181.6724619168234,176.39796036684265,VER
10,195.23862352623294,172.09724452602657,VER
11,214.11439306285214,206.4441808548198,VER
12,254.80153205365397,232.43410225493125,VER
13,177.10077683810957,166.0262624370189,VER
14,247.07300713863225,249.65142459702835,STR
15,274.9842579748416,277.6980158730159,STR
16,275.6021791527204,265.8674679384616,VER
17,273.0976449391304,256.0497895273727,VER
18,264.26997808992627,246.25520834285712,VER
19,256.55024290652557,242.20391585143534,VER
20,264.8814063370069,260.58799999999997,VER
21,204.93060147099132,233.3678966146322,STR
22,225.7738989043119,229.06916625019198,STR
23,274.46949973333335,267.8755227281725,VER
24,285.2581521623188,292.59120082815735,STR
25,286.0,299.8880953904762,STR
