Minisector,RUS,ALB,Fastest
0,306.0064600193016,320.3838427349962,ALB
1,237.20476014679508,226.48090194349066,RUS
2,121.17787532078144,127.256586197595,ALB
3,236.9225905323262,218.06580576948147,RUS
4,190.95851940225683,183.30355045601726,RUS
5,243.21040590313734,237.3673564123075,RUS
6,227.03002117967156,218.83908304873268,RUS
7,252.88969168957192,258.05018956576646,ALB
8,293.02101467907124,294.4815627168254,ALB
9,201.42554229007223,181.94444938418243,RUS
10,201.14760424974452,209.3031394533204,ALB
11,271.815153559575,277.2481228036637,ALB
12,214.41480983088022,203.053586805963,RUS
13,248.35676644091174,257.3629745523529,ALB
14,292.11132688454063,297.0724617066667,ALB
15,309.47138617920155,314.2437173264733,ALB
16,309.4740604631579,308.6615351030303,RUS
17,205.5885881105393,200.29445784610203,RUS
18,260.43899456285715,264.58811521317796,ALB
19,295.617620173436,303.67057078999727,ALB
20,311.83325303719096,325.03069703836735,ALB
21,312.8189725848933,329.19372979555556,ALB
22,147.04392862934242,142.5992847657631,RUS
23,232.94071039346937,239.85831273773346,ALB
24,288.0929504833697,297.57080776136695,ALB
