Minisector,PER,RIC,Fastest
0,295.0919094648039,297.37957144990474,RIC
1,163.7844296701039,158.19422928881082,PER
2,156.09602221598618,149.11906043333272,PER
3,223.31194418154442,223.09986931960376,PER
4,285.800550466905,287.7651904121905,RIC
5,293.49253662710623,292.65972222222223,PER
6,149.68121523781906,145.78900496516982,PER
7,142.89747687978632,138.25559992847425,PER
8,146.33749920106442,143.87966858636787,PER
9,181.6861572522067,184.24061027055976,RIC
10,131.62142551025863,129.6232370803696,PER
11,131.02957066148863,124.57719559100812,PER
12,166.83584693810937,167.5826501433637,RIC
13,268.34547704397744,271.384592392674,RIC
14,290.2733466675111,291.3699234746448,RIC
15,153.68074733974873,148.3564100379446,PER
16,214.87273410455987,210.0301856858704,PER
17,164.70468574833328,166.41826465850045,RIC
18,268.0762108124137,271.89102564102564,RIC
19,291.4435898666667,297.2534581435767,RIC
20,305.43113247593055,310.69742063492066,RIC
21,313.3581349079365,318.1112080604149,RIC
22,315.9961956637681,319.84057971014494,RIC
23,316.63888893333336,321.7348484848485,RIC
24,313.601948000303,320.3071180888889,RIC
25,309.0,,PER
