Minisector,VET,MAG,Fastest
0,285.40509549559346,276.9647105679467,VET
1,304.2627110696869,299.71927909028165,VET
2,299.81416741797705,292.4971560804233,VET
3,172.00605653461201,175.03218343201712,MAG
4,116.10401491337133,110.28273448757699,VET
5,244.38524644721525,233.70195665533205,VET
6,300.19752678047155,288.9947544827361,VET
7,321.07299709572305,305.7807533206349,VET
8,160.1484387245068,160.28785154633593,MAG
9,142.33645096086468,130.80663298069283,VET
10,251.9361761337389,247.5063485878103,VET
11,287.2139697592842,286.54394034824065,VET
12,296.22773304242423,295.70551580546237,VET
13,276.59713897490155,264.11068408072344,VET
14,297.8377410593424,292.7643682787902,VET
15,294.54726131362855,301.1066288569351,MAG
16,248.8256373126376,229.51183201440844,VET
17,221.95523115754963,210.53918580946373,VET
18,279.2284940919358,279.3148114771844,MAG
19,301.66002723301193,310.8410605899202,MAG
20,308.36853837936206,321.3272545180387,MAG
21,227.8447056087309,216.3180491105473,VET
22,258.76500848963235,253.3797205616359,VET
23,143.49499787992062,132.14742363720265,VET
24,213.32179020968215,201.96777172475535,VET
25,254.95000106666666,253.93333333333334,VET
