Minisector,RUS,GAS,Fastest
0,311.2719200969697,305.0530524957464,RUS
1,201.77648632141526,222.08129272439527,GAS
2,147.3931691040426,149.84904262791767,GAS
3,228.20292337692348,221.1659025113997,RUS
4,164.07233259898763,165.4080221675201,GAS
5,178.39058831957013,174.53841782663744,RUS
6,252.9667665497643,252.29844091885715,RUS
7,280.01530919570064,277.790427145061,RUS
8,287.5920824330829,284.87655681699414,RUS
9,262.06877268548755,255.54464862048454,RUS
10,243.43829946532634,245.3847837357637,GAS
11,241.5699721847619,234.41026942815546,RUS
12,202.05796888616646,199.00904577522093,RUS
13,129.72636427181902,124.28336538811271,RUS
14,139.38382797113383,133.64400932932537,RUS
15,177.96299664724407,178.0442494911791,GAS
16,251.1252670141302,247.36426370526317,RUS
17,237.9131778926682,242.05569531987302,GAS
18,114.65131979963786,116.00257740882964,GAS
19,201.62773823743694,197.3404632593529,RUS
20,202.25669980948607,197.11672157074284,RUS
21,240.87157765239766,230.31012797320014,RUS
22,267.6297975792876,264.26867089627706,RUS
23,286.75822154661216,283.02867224022407,RUS
24,301.5163230593016,298.57886785141005,RUS
25,306.0,,RUS
