Minisector,HAM,SAI,Fastest
0,290.788278071973,277.24016785066664,HAM
1,164.66110827313636,160.08070407445166,HAM
2,152.82435318993228,151.4397550800501,HAM
3,227.14444448395062,232.66018389559085,SAI
4,281.69633761969254,284.3249064825487,SAI
5,282.01693771018273,275.81124640277056,HAM
6,148.6583257919231,143.5235195572802,HAM
7,146.47655365614236,143.29206850496436,HAM
8,147.46291886922768,140.16031463353423,HAM
9,188.57766883001443,194.6097958342381,SAI
10,133.3517518115818,128.89717095357207,HAM
11,124.43158150743598,118.29699123710047,HAM
12,170.01155015907335,180.5740347635221,SAI
13,266.42914767726563,269.41497985396825,SAI
14,284.8761362909091,282.8107141962733,HAM
15,158.45252575054525,148.00617074598497,HAM
16,216.94977936931215,203.48363065714287,HAM
17,177.84872452032374,184.9732420822415,SAI
18,273.52500000000003,275.37223071138715,SAI
19,295.115476092517,294.5510986864604,HAM
20,308.24895833333335,305.9654264888889,HAM
21,314.50145818666664,312.0444675980784,HAM
22,317.2527976304762,314.1218253714286,HAM
23,326.20958336,316.1940476444444,HAM
24,328.52425061647784,314.18245614035084,HAM
25,324.46250026666667,,HAM
