Minisector,RIC,STR,Fastest
0,301.6426268801308,298.6535217259979,RIC
1,244.2380528,237.94665663014717,RIC
2,195.37325504660197,189.60211894707658,RIC
3,267.3120159266314,262.2760156616412,RIC
4,222.9192331863351,219.87455054637962,RIC
5,108.15227565542051,110.75712230542071,STR
6,168.19257870613492,177.42722325354887,STR
7,254.51629823054188,257.658985556494,STR
8,284.9214976863304,283.87694252267477,RIC
9,297.42353685079365,296.68116697600004,RIC
10,299.82814438489856,299.18038186666666,RIC
11,225.30455756840917,225.82056943333333,STR
12,141.94823639311522,147.21612424195655,STR
13,254.92040386206895,255.76993049509244,STR
14,287.7714480932571,287.3339748102564,RIC
15,293.80468733333333,291.19928587200945,RIC
16,281.13974326153846,278.95178347641536,RIC
17,243.53583094857143,238.72974072005078,RIC
18,169.2362374992045,176.81794651241867,STR
19,181.9527734787225,177.37404363342722,RIC
20,169.40965681951218,175.18860040375833,STR
21,240.9476455040157,238.34110990222223,RIC
22,119.07208089730203,120.64875631790673,STR
23,194.87766740413596,199.17460338619085,STR
24,280.3433468952381,278.70355006419754,RIC
