Minisector,PER,MAG,Fastest
0,322.5801625997114,323.7358523999204,MAG
1,332.0064993443495,332.6300556757143,MAG
2,326.7301013788272,332.161314592254,MAG
3,200.0737225139065,187.9529145312875,PER
4,132.21234073399518,132.14137981303614,PER
5,268.0280887730403,267.765180253898,PER
6,301.4834830095238,302.8537906569486,MAG
7,315.583749952,317.7561386269151,MAG
8,273.79656139876647,287.82524349729465,MAG
9,148.2681133777513,139.5783799762465,PER
10,218.83712659224148,221.6154911925798,MAG
11,227.0396635909091,221.32556960251264,PER
12,201.3558868904762,198.32867132247824,PER
13,272.639667456,266.44414343953173,PER
14,308.0865196065055,304.72210324745197,PER
15,320.2083053585965,321.6162827368421,MAG
16,274.46237236363635,286.07357615066377,MAG
17,211.6585470987755,209.3835849556001,PER
18,278.047288447205,273.25270910429043,PER
19,311.20459590588234,306.30455871436766,PER
20,321.20798697142857,322.8195220428526,MAG
21,301.44490084184713,314.86568921683113,MAG
22,209.71458425142856,210.40521969459266,MAG
23,265.3659857072143,264.6607372568381,PER
24,304.4198220251429,303.3353010974871,PER
25,315.40714422857144,318.2486112,MAG
