Minisector,PIA,LAW,Fastest
0,270.5912150537143,266.1112676616462,PIA
1,235.96959595158526,245.68816444210026,LAW
2,113.8797675976784,116.82403325004103,LAW
3,176.74976078845376,170.27703484211915,PIA
4,186.8917391912189,184.38061172984337,PIA
5,192.29378191816093,191.90338635057384,PIA
6,264.5373784040528,264.4536625240931,PIA
7,286.9522337509297,285.0793555686495,PIA
8,220.83602260244285,232.24814951022773,LAW
9,143.9494825711205,141.64665359149663,PIA
10,110.81475840448813,109.99773092960646,PIA
11,148.11728475874483,151.24605110455306,LAW
12,245.41913790539684,241.73967478598988,PIA
13,145.21740643997634,146.50083031037315,LAW
14,142.39625418176533,141.906775085743,PIA
15,106.52554812039311,102.9028055947106,PIA
16,219.2700657928205,215.94300776145118,PIA
17,225.24855799961907,217.03165760047736,PIA
18,130.60758495244417,123.29052080047225,PIA
19,243.18439992864236,240.61135991093028,PIA
20,276.09248371726034,275.4978528106425,PIA
21,198.279096075368,186.36131283596788,PIA
22,141.54976575510656,144.17881189295656,LAW
23,210.5106880684643,204.62220287588855,PIA
24,226.53775233109752,223.25519919243328,PIA
