Minisector,LEC,ALO,Fastest
0,290.48054608911116,292.0106045393863,ALO
1,299.8024726189569,303.51420102930484,ALO
2,297.33171841664563,307.0,ALO
3,185.77186530000267,189.64600047217553,ALO
4,208.70338687512765,214.0903731920484,ALO
5,204.14827123189121,201.34060317360542,LEC
6,264.1331845638095,264.7920309327581,ALO
7,263.6907192367847,260.44567890430835,LEC
8,216.9128623056555,211.55460341742233,LEC
9,212.96102454567597,214.1219876120935,ALO
10,141.430639933722,141.84987012311225,ALO
11,199.09319659532466,203.46126719576466,ALO
12,192.58900524614032,179.20171678833333,LEC
13,254.0196806373394,255.03140607717458,ALO
14,180.60212389879763,179.96469265285714,LEC
15,234.74798105846153,232.39632304060987,LEC
16,278.2377867154051,280.9663488686659,ALO
17,289.69955029671956,292.34336174787876,ALO
18,285.5642610241441,286.6207484952381,ALO
19,276.4688979420451,265.6544356146939,LEC
20,269.3064341862434,261.0465392164102,LEC
21,266.9167590282244,263.7905966471692,LEC
22,246.22720590489334,232.36016083536742,LEC
23,209.59375618306964,206.38682903661623,LEC
24,267.93481297850343,270.1821365426087,ALO
