Minisector,LEC,ZHO,Fastest
0,290.1003676574915,289.94169350498277,LEC
1,302.4666483911111,300.1150445631615,LEC
2,304.16116178332686,298.50682334983804,LEC
3,184.91837918745892,182.32349070370915,LEC
4,210.73644658262418,202.29584994018063,LEC
5,198.7903803667652,200.04072191815223,ZHO
6,262.5658848297726,263.1824197430265,ZHO
7,258.2743251445887,249.1968729985149,LEC
8,204.9127858043443,203.36433062842522,LEC
9,206.7139317239271,207.26897422130943,ZHO
10,138.96954296316406,142.21365311536266,ZHO
11,199.85164594937703,208.93674688982864,ZHO
12,179.30324006784892,172.54278487665223,LEC
13,251.20410973079365,239.4005439092616,LEC
14,173.6138323353792,177.0647124685933,ZHO
15,232.72381130662953,229.89883126153848,LEC
16,276.0917228335601,272.9303757525973,LEC
17,287.6789427884665,275.8964368969697,LEC
18,275.146625104,264.63764423806936,LEC
19,259.9888650941863,250.3550430420779,LEC
20,260.956845551746,253.31651495202743,LEC
21,257.35550285084884,252.79377663270174,LEC
22,228.91898080418116,226.32518511610246,LEC
23,189.20216012257484,189.95524902114946,ZHO
24,267.51906562651396,263.91240019331974,LEC
25,,281.44642742857144,ZHO
