Minisector,SAI,OCO,Fastest
0,326.92249338546367,303.3040097764411,SAI
1,337.05416658823526,304.2336643640212,SAI
2,332.8845964467665,296.52228338038765,SAI
3,221.44940692161174,225.06250141866664,OCO
4,218.59790009642694,221.88109376201135,OCO
5,115.19323259138947,116.18750236391081,OCO
6,227.3826492601074,220.7797397889672,SAI
7,266.7229586866213,262.15833255757576,SAI
8,220.05865886827414,221.6126350246151,OCO
9,120.71387401295584,117.66638728302183,SAI
10,243.14378673074035,236.38876679419332,SAI
11,252.22600206868685,252.39924327619048,OCO
12,130.2079115950127,136.52805605582023,OCO
13,221.3206647776688,214.67328788025526,SAI
14,265.8511902984127,264.12173742875547,SAI
15,218.27253317530864,226.67709881295238,OCO
16,167.03330114311072,167.28026953340805,OCO
17,242.1945651478261,239.2331010962963,SAI
18,125.01887693812564,124.53782770699884,SAI
19,141.826406875563,149.03743445148305,OCO
20,204.55475992380954,197.0712816499179,SAI
21,261.1881853247151,254.04253886605812,SAI
22,278.63769813333334,271.6515146666666,SAI
23,287.9452393926178,283.1593522892654,SAI
24,296.69999973333336,292.592334229891,SAI
25,300.5833333333333,297.2312496,SAI
