Minisector,HAM,ALO,Fastest
0,278.3003276530027,293.6317923641311,ALO
1,153.40514383382182,151.59169416278402,HAM
2,143.9576728886516,136.68888303955893,HAM
3,224.47766894100582,221.0967577232784,HAM
4,278.3307280295731,285.23380000000003,ALO
5,277.652794531174,280.49583561571717,ALO
6,140.18624247954818,136.58275762045926,HAM
7,142.48602093958146,136.72686591026837,HAM
8,136.993057932143,134.92622513503974,HAM
9,188.82636964486773,184.12638025874014,HAM
10,127.70948490845609,128.67208020800476,ALO
11,119.31969041196854,117.23307650771709,HAM
12,170.33062227277438,161.99786249593183,HAM
13,264.4480412312534,266.6954664695886,ALO
14,282.9460886817738,288.60275254949494,ALO
15,147.62198755477812,146.71139038829858,HAM
16,202.60134898031748,201.1759977631818,HAM
17,174.99202713491968,171.6506014151258,HAM
18,267.84736152540785,272.47524829868024,ALO
19,288.9819136514533,298.52264177922905,ALO
20,300.8903206836017,313.1017542545455,ALO
21,308.94150971273984,321.5717354516452,ALO
22,312.02751324444444,324.6630050666667,ALO
23,314.0391086277879,326.79337504,ALO
24,309.95197451130434,321.9429834054834,ALO
