Minisector,OCO,GIO,Fastest
0,258.9441194666666,263.4879569837535,GIO
1,129.9737132071324,131.95245142959624,GIO
2,194.16328471759854,195.92708106666666,GIO
3,242.3828421647059,246.06405687961717,GIO
4,259.02039578270336,261.3450532666667,GIO
5,181.64856096698077,180.27174066086954,OCO
6,149.40892906666664,141.77528555069603,OCO
7,181.4698718538463,180.58598427705627,OCO
8,102.37424938165996,103.64985365018876,GIO
9,77.62350803049989,77.66325547127991,GIO
10,93.92917585883521,93.7635411878788,OCO
11,175.35422406665415,178.16462817091823,GIO
12,240.91365613515578,246.6794106352941,GIO
13,264.7640619333333,269.3561103644444,GIO
14,277.45888903111114,282.54096797461983,GIO
15,123.08387135564598,126.7320931860061,GIO
16,136.9793076229885,133.98163194024377,OCO
17,193.771389629803,194.764485384127,GIO
18,194.794442615873,191.98174466031747,OCO
19,222.77314992592594,217.27748277568242,OCO
20,134.15403574350134,134.93629078709677,GIO
21,114.64219146894649,123.94422620669981,GIO
22,92.12900697396825,87.75402980140292,OCO
23,193.69714885295969,189.8274595878788,OCO
24,246.12152663703702,247.86926953333332,GIO
25,,263.7499968,GIO
