Minisector,NOR,SAI,Fastest
0,319.71333023084173,307.67213130068563,NOR
1,240.84653807147336,230.4319666092712,NOR
2,129.85030908955352,127.12627109389776,NOR
3,236.72067580739375,231.6664574315052,NOR
4,196.1231607297764,189.88563146230703,NOR
5,249.2836188221734,243.13091486192508,NOR
6,230.68742944981838,224.40171102603173,NOR
7,260.0649944886388,258.74872972517005,NOR
8,291.17905451487184,293.46018696720654,SAI
9,197.58007837365804,204.00785619287092,SAI
10,209.1558472557249,209.9041317021176,SAI
11,269.239098523498,275.786995214376,SAI
12,216.072835099309,205.18379283482597,NOR
13,257.12716630167085,253.17137953238202,NOR
14,294.96455112546585,295.3868939194776,SAI
15,309.47342302676674,310.1695544074074,SAI
16,304.41412992151,312.64124497630854,SAI
17,202.9613627267475,199.64477883192518,NOR
18,263.68560196560384,261.34649172901914,NOR
19,298.5363380113572,296.6164237287619,NOR
20,310.3173429719807,311.92792502808766,SAI
21,304.28588624427886,316.1600396393651,SAI
22,156.4574531734915,146.0338481751637,NOR
23,232.6050742562018,230.76982157056275,NOR
24,289.5746377391304,291.90402432199426,SAI
25,,303.0,SAI
