Minisector,LEC,BOT,Fastest
0,323.5124603527014,316.1644002429052,LEC
1,338.2597086845113,325.2021963687619,LEC
2,337.55299979147867,322.45658109014073,LEC
3,201.45930454337238,189.82981070506028,LEC
4,110.94093627404878,120.87733748637532,BOT
5,259.1428776301351,262.6141516266667,BOT
6,299.8455919703309,296.51432892563736,LEC
7,319.611044186723,311.45452418315784,LEC
8,279.17855079997827,279.968289947013,BOT
9,133.40725902116094,135.13972094478555,BOT
10,207.15278045131558,208.45359658709285,BOT
11,208.94121989817918,206.78742968271257,LEC
12,188.0558487825192,188.6164594981108,BOT
13,264.75045739192143,262.8506451126022,LEC
14,307.755692738089,299.7035879555555,LEC
15,324.56551992407685,314.06922221511115,LEC
16,273.4351661124488,258.41910765393175,LEC
17,198.17416295009417,200.86173571680317,BOT
18,265.9468539873568,266.99956803675275,BOT
19,305.79861538966804,303.4257566,LEC
20,324.10838626913716,315.2210597925471,LEC
21,322.03941354666665,301.5641743046465,LEC
22,195.0962946337676,197.26615078676565,BOT
23,258.74206682822273,262.22151729490685,BOT
24,303.350330210915,298.32213910150966,LEC
25,,309.24375,BOT
