Minisector,VET,BOT,Fastest
0,294.6595756389234,297.0748188289855,BOT
1,255.37095270325386,252.0379326978751,VET
2,200.6224705438048,197.75781442457756,VET
3,264.93260348953766,266.3705698751781,BOT
4,244.08541583589744,233.07440533333332,VET
5,120.25517157703433,123.698219235574,BOT
6,183.5741491631978,183.87601856,BOT
7,258.28697924444447,261.1451384888889,BOT
8,287.3118275700095,295.5774211590848,BOT
9,300.2662698666667,309.8762500266667,BOT
10,306.93985356589695,313.8076516358125,BOT
11,241.21344878047898,236.58163579259258,VET
12,145.52561797893898,145.14238865943076,VET
13,257.08478260869566,260.3886827294219,BOT
14,289.59575018461743,296.5582299163646,BOT
15,298.481746031746,307.04333333333335,BOT
16,294.4981504588191,300.7309522793651,BOT
17,271.5841450943723,261.9479166666667,VET
18,187.39459513514635,184.2855095415358,VET
19,190.96049362039687,190.51905140416946,VET
20,180.4268776571947,182.9476872251989,BOT
21,249.17306326390704,245.4915864611777,VET
22,128.94004522333663,124.43866155008274,VET
23,203.80791231736575,202.73192602727974,VET
24,276.18105497254857,278.8839017212121,BOT
25,289.0,,VET
