Minisector,HUL,HAM,Fastest
0,305.549846382399,295.3007354215092,HUL
1,322.51618420266664,306.4136364350877,HUL
2,332.1554896870799,311.9339445949556,HUL
3,309.95626845333334,314.87405864744574,HAM
4,160.9335234918927,156.56974120202483,HUL
5,204.1394876779221,212.95485506937197,HAM
6,234.66152955847167,240.98126746719564,HAM
7,268.859847825989,273.27956117974935,HAM
8,247.58481978412698,245.1094018057143,HUL
9,154.39181742540882,157.49889029423636,HAM
10,220.81348588738834,217.1591414178054,HUL
11,122.41387053645066,128.22710140131142,HAM
12,232.59666807926902,235.94233617822707,HAM
13,177.8286846216322,175.61987109494177,HUL
14,217.81629553421845,223.81805101030002,HAM
15,240.91888621978126,241.8774183529442,HAM
16,269.97132533391056,270.4203179583109,HAM
17,301.6932950857143,301.0552287653874,HUL
18,147.3749261400816,149.44139717604335,HAM
19,168.29021831619048,168.67407150023124,HAM
20,135.34585724163708,137.5222459169813,HAM
21,235.8452431985489,233.46291107091787,HUL
22,265.3771318056755,265.39218261303427,HAM
23,249.83956628502165,248.7318266011427,HUL
24,282.3752518872188,279.0628504141923,HUL
