Minisector,BOT,ALB,Fastest
0,257.1761153393985,257.845500054881,ALB
1,208.75966913015873,207.85319354920634,BOT
2,223.35534905603095,218.85271949797863,BOT
3,261.87216095140417,261.77403831794874,BOT
4,275.51923714194345,276.4433710010241,ALB
5,216.01151598571428,224.37761172493248,ALB
6,98.72505571417643,96.31874763410815,BOT
7,182.63770858025393,183.88852575294482,ALB
8,268.1969547897436,268.6954229343015,ALB
9,289.66397407241163,290.4425345777778,ALB
10,298.3286457777778,298.7719202782609,ALB
11,293.63212435033034,293.30185544032815,BOT
12,113.59869707491023,110.41165702342684,BOT
13,216.56878602380954,216.03497963639396,BOT
14,276.6121187230476,277.42356213385773,ALB
15,293.51689949151137,296.75996093935584,ALB
16,215.21673520612615,216.12086178299487,ALB
17,126.51872246834915,124.89852201775442,BOT
18,152.6045854095238,156.41607113034846,ALB
19,252.17579777593141,255.14529285925926,ALB
20,157.44232600799424,161.02600371036593,ALB
21,131.22720826862306,129.3252813687613,BOT
22,206.94157813290562,203.40519559720624,BOT
23,208.07999826673932,209.56768708257897,ALB
24,169.21839404227643,168.26094404619786,BOT
