Minisector,ALB,NOR,Fastest
0,257.845500054881,256.03457710930945,ALB
1,209.16110584761904,203.95276359033195,ALB
2,217.2010720136668,221.36483497748696,NOR
3,261.77403831794874,262.5216047407407,NOR
4,276.4433710010241,276.5342076201141,NOR
5,224.37761172493248,223.64248590548726,ALB
6,96.31874763410815,94.65263339492903,ALB
7,183.88852575294482,187.4397840949748,NOR
8,268.6954229343015,269.16189379608977,NOR
9,290.4425345777778,289.27211462611257,ALB
10,298.7719202782609,295.9154659957857,ALB
11,293.30185544032815,292.4420298086957,ALB
12,110.41165702342684,113.46299627509994,NOR
13,214.62982275003128,217.72877046088945,NOR
14,276.7666196485034,275.48166598095236,ALB
15,296.6190896758495,293.3522568888889,ALB
16,225.92368521255383,225.43078296774195,ALB
17,124.08642771682554,121.71601859236225,ALB
18,154.20515445194803,150.83685121473073,ALB
19,254.22154432320062,252.74525951322752,ALB
20,161.02600371036593,156.44565803050372,ALB
21,129.23707913043603,130.4815083138507,NOR
22,201.42219000871464,206.78953851817414,NOR
23,209.56768708257897,207.86365362922493,ALB
24,168.26094404619786,165.61595088737073,ALB
25,,229.88333226666666,NOR
