Minisector,OCO,BOT,Fastest
0,289.8965990109091,306.05689298590477,BOT
1,205.315474623136,213.67613214253677,BOT
2,224.99739770487616,226.9023478866658,BOT
3,273.09093196841127,278.56797861248555,BOT
4,236.2282626145055,252.42172829139892,BOT
5,129.55879703993668,131.4244350495352,BOT
6,214.65561722823196,210.2700285238243,OCO
7,253.9607842094437,255.16470542933845,BOT
8,234.263066624903,237.3510352578266,BOT
9,230.18731086950208,232.44098008180777,BOT
10,273.36521138594964,273.90761638617283,BOT
11,293.067344152,293.0185272617544,OCO
12,302.20169550358315,303.7734168586667,BOT
13,307.0737745568627,309.73146936541355,BOT
14,306.5710797791784,307.32523391369966,BOT
15,254.608838951342,249.81795446044865,OCO
16,235.299486363982,234.8685923753151,OCO
17,275.9308968853333,275.8483483173449,OCO
18,288.60729423665896,290.3506003605549,BOT
19,152.37193451466712,154.48890491856352,BOT
20,206.84994368113342,210.85727179880837,BOT
21,184.16915536679235,183.70569363571428,OCO
22,138.72991595210192,139.18124320263482,BOT
23,234.24084932210687,238.45382867860587,BOT
24,276.91678119757574,279.4702386568707,BOT
