Minisector,PIA,NOR,Fastest
0,270.19363391252205,271.57187403741193,NOR
1,289.07093603990927,287.60678117250245,PIA
2,287.5798933665408,295.419397952,NOR
3,125.73819060977404,128.56710142216315,NOR
4,195.75220567809524,192.22791240609732,PIA
5,244.89065880987772,247.6819180515222,NOR
6,134.92659957370023,134.46374036571427,PIA
7,206.36040463492063,206.22241060834767,PIA
8,258.141256905732,257.66783782796676,PIA
9,277.39726690285715,278.893768368868,NOR
10,230.39734885431636,230.8208449197204,NOR
11,169.51743257150858,172.52365536983103,NOR
12,194.95821364033014,191.83877444752886,PIA
13,139.9134939770538,134.20898674105248,PIA
14,176.69847123249167,174.18853692315048,PIA
15,164.46411769412893,160.11776214697394,PIA
16,224.80748214744688,222.30989492894662,PIA
17,232.3546792807321,233.45731553686858,NOR
18,238.98258360571427,239.6619171496705,NOR
19,227.06404070615372,224.9546990125177,PIA
20,145.93757553201536,145.8923967439316,PIA
21,129.37055807468678,126.79786912994788,PIA
22,164.89383262375918,172.8282960356717,NOR
23,150.3204252822934,154.66394913001986,NOR
24,227.67103071935497,229.6304472185034,NOR
25,257.97499999999997,256.89166720000003,PIA
