Minisector,ALB,STR,Fastest
0,289.82765551908034,296.19753756536795,STR
1,306.8122034673737,325.1934704108339,STR
2,299.13249952,312.92392335238094,STR
3,187.06028541283678,176.12803502337545,ALB
4,224.39386883460568,213.14911825437704,ALB
5,212.71069788507822,199.34627887126774,ALB
6,197.66278154739302,189.04345567160206,ALB
7,221.2442348636457,210.77009531955363,ALB
8,257.3713546222222,253.56907024388948,ALB
9,260.7472467238095,252.98620008106667,ALB
10,177.98391259301496,168.9016891282175,ALB
11,239.77897455186047,237.69831766153845,ALB
12,122.46617098936592,119.27191381728396,ALB
13,228.98095775853506,226.92589471734624,ALB
14,272.3083664188562,272.9,STR
15,277.3479166683983,281.8321988598082,STR
16,214.7529472948911,204.47834133824887,ALB
17,194.8230036413952,184.70179630035054,ALB
18,269.9595733589518,268.2359985981726,ALB
19,293.0445863256236,295.1494192948119,STR
20,304.4527424203535,307.7951246947846,STR
21,305.71068588117913,307.3992255513921,STR
22,260.97876297052176,244.611000064,ALB
23,121.02329030730253,119.91407715602914,ALB
24,241.65278632838098,245.83529628444606,STR
25,272.9,,ALB
