Minisector,LAW,HAM,Fastest
0,308.3658337653231,312.3575115940741,HAM
1,179.28800872615386,192.2253825635222,HAM
2,107.15143637167611,107.9201540839137,HAM
3,200.83366485768994,194.53653941404838,LAW
4,256.30085207325584,255.87076424078103,LAW
5,283.3102023332213,285.21049409930157,HAM
6,298.824034058836,301.75347544177106,HAM
7,238.7829433821888,230.92595277015474,LAW
8,143.5469927438961,141.38523933945018,LAW
9,230.68345139352382,225.53589249026146,LAW
10,267.1751921441976,270.4089209559808,HAM
11,220.038111071809,237.2670012157899,HAM
12,175.2653858057143,174.32220537102222,LAW
13,104.56529196623974,103.63264456500724,LAW
14,104.47439988206568,104.5716091131541,HAM
15,135.93055005611325,139.17071177146448,HAM
16,113.05105882063589,110.74285377756749,LAW
17,204.33729411947843,201.83079130560827,LAW
18,148.28812161324262,144.20686401735352,LAW
19,151.28356486143392,153.5066214822078,HAM
20,241.812803868904,244.07046115593906,HAM
21,273.42253762426185,275.8111180267668,HAM
22,291.62538143666666,297.5785378980392,HAM
23,300.4486029343791,309.66198773900265,HAM
24,304.43792658666666,315.2682737904762,HAM
