Minisector,ALO,ALB,Fastest
0,293.28112101847876,297.02103546908785,ALB
1,300.60122820661246,304.40016664533334,ALB
2,222.57678789262545,212.23926167903824,ALO
3,139.67561532993062,135.96967860266147,ALO
4,223.15230696543304,214.5012530050598,ALO
5,166.70418689751122,156.0118288607268,ALO
6,178.27218401215654,168.2602162763756,ALO
7,252.7315013309102,255.9642757445614,ALB
8,279.2625189211808,281.44658263406546,ALB
9,286.82427200454543,289.58215285333335,ALB
10,256.5960408410831,250.565729487746,ALO
11,243.8945308781395,237.9796447383866,ALO
12,245.18515258794187,226.62377043869566,ALO
13,215.99040739961907,190.7342776199348,ALO
14,132.8656605753921,128.69118971195195,ALO
15,142.64717152172926,128.88705288619076,ALO
16,185.18875001904763,193.1601167077172,ALB
17,246.76723414518517,262.6685754064817,ALB
18,258.3002535755389,206.7057559431333,ALO
19,118.69343650026232,116.20154300895781,ALO
20,193.4277679388543,211.64195521620564,ALB
21,201.51540130993232,194.19381636936922,ALO
22,227.57176012334935,247.76246882052484,ALB
23,261.6938905722488,279.1048570433016,ALB
24,277.9268785280548,300.08502773837887,ALB
25,288.72618971428574,,ALO
