Minisector,BOT,KVY,Fastest
0,257.5410717688013,254.74734110984127,BOT
1,140.9123370776124,137.0290398912852,BOT
2,261.8569467945739,265.13593138798973,KVY
3,306.62270940661745,309.2301090603175,KVY
4,305.83177106666665,307.48578066224974,KVY
5,312.03033335466665,314.00431155942033,KVY
6,317.6786232115942,318.6989130799172,KVY
7,316.9902469660447,317.8929315238095,KVY
8,216.1672957965288,207.24403858320136,BOT
9,198.25240702385707,193.62330440256156,BOT
10,195.4543499205199,193.6471912947497,BOT
11,163.98497008029975,161.7265275876369,BOT
12,247.44748414623658,238.6788035074883,BOT
13,281.8740744691358,270.8635411428571,BOT
14,279.8603395160494,271.55603915514115,BOT
15,285.2511230769231,279.3337051554478,BOT
16,194.0387066105263,186.59828881396825,BOT
17,198.45441348854828,195.43996741211967,BOT
18,238.48591043932413,235.02773477826685,BOT
19,286.61967210735446,285.9597226271605,BOT
20,306.89308018835976,309.6397409355852,KVY
21,313.3071428266667,318.9996377242236,KVY
22,310.67552092063494,317.67490757639496,KVY
23,271.58330819679003,280.9274156961128,KVY
24,115.09628635079514,111.85009452859518,BOT
25,226.5749952,228.99245785396826,KVY
