Minisector,OCO,ZHO,Fastest
0,267.8430506453094,274.41245694342524,ZHO
1,116.63433318811231,112.32535023456151,OCO
2,156.3033345242407,158.44252981202598,ZHO
3,192.64090482659876,208.09349394086877,ZHO
4,162.67193618345866,158.60992361481675,OCO
5,240.60387680211858,237.635908871387,OCO
6,198.52038801995337,199.12514917304497,ZHO
7,132.27069478948673,130.70193479459982,OCO
8,228.60014848588676,230.6169929727259,ZHO
9,269.79387378637057,277.0416215989814,ZHO
10,275.1292520272428,279.999492004169,ZHO
11,142.04312163900025,140.83002036248644,OCO
12,214.5637607716458,218.7679910515439,ZHO
13,263.2059827498818,264.5091503258413,ZHO
14,258.9163632780247,253.93931419513228,OCO
15,99.76794341654511,102.58415348655231,ZHO
16,214.8074648050672,215.4644785070763,ZHO
17,269.672939202963,270.5898776462338,ZHO
18,291.92252165662325,301.37989273061237,ZHO
19,302.6074079176875,318.4797662867647,ZHO
20,308.8187407454815,329.50707177142857,ZHO
21,278.58266945169044,292.27839448134677,ZHO
22,145.97711971914853,146.76176338989384,ZHO
23,230.90241343154435,231.43117664507938,ZHO
24,272.06433136252775,280.00096562221495,ZHO
25,284.0888888888889,296.1178569142857,ZHO
