Minisector,RIC,PER,Fastest
0,288.035869542029,288.6397721974026,PER
1,306.19044100315995,308.49145808,PER
2,302.1220455527605,305.7766456815719,PER
3,183.4948911674525,182.2444287111111,RIC
4,223.97395855238096,220.67785437037037,RIC
5,210.7720235159946,201.61621990861013,RIC
6,194.94907306229737,187.40393234747475,RIC
7,215.79035273315907,209.57052090628002,RIC
8,259.418403253068,257.22813256900696,RIC
9,264.67762173828953,259.29606639063974,RIC
10,173.4173842558101,171.3071874088466,RIC
11,239.70227739682662,240.82245306666667,PER
12,119.06433340871347,121.34584503175931,PER
13,228.37566258906529,228.81521939625696,PER
14,275.66313791583053,277.60948647808533,PER
15,282.77559517229435,286.45578369658,PER
16,211.79841370365335,201.8357354470046,RIC
17,187.265910376912,184.42265489524456,RIC
18,271.3184858189376,271.4616060444444,PER
19,296.81309556825397,298.77666629333334,PER
20,308.334390664492,311.1651759094647,PER
21,307.91249973333333,311.1968720909443,PER
22,270.00543147220816,272.07466003993966,PER
23,118.27399146283175,118.36070722273563,PER
24,243.45142226390422,242.1730756102564,RIC
25,,274.74999893333336,PER
