Minisector,SAI,GAS,Fastest
0,292.9148549101449,293.8297287900629,GAS
1,300.73100656623376,302.70198415238093,GAS
2,274.50266820266665,275.66303492931155,GAS
3,113.7912399382668,111.27610346762364,SAI
4,231.52531977528935,230.47921064973545,SAI
5,273.43049954133335,275.1014794169445,GAS
6,202.36119639698717,203.98502026066504,GAS
7,175.46633732296436,166.23482967308166,SAI
8,216.61009120950177,208.65077296344086,SAI
9,222.53775596277603,222.412891185889,SAI
10,119.80277344778231,114.83973291245647,SAI
11,235.5638520927834,228.14087337142857,SAI
12,119.66074322851331,119.08024295410961,SAI
13,227.92026573089643,232.5656112278335,GAS
14,273.98733468518793,276.0746526666667,GAS
15,215.8372848150865,213.58705832781018,SAI
16,207.13287720500347,200.6549013019608,SAI
17,253.64104924444447,250.22911652310827,SAI
18,196.33171034760935,196.94341007720624,GAS
19,194.16420690849128,188.90998897405962,SAI
20,269.05050984065815,268.61940062647795,SAI
21,289.4232868899717,290.8788476186164,GAS
22,168.52143472388366,162.1984213456243,SAI
23,220.54358357245937,220.13000782397373,SAI
24,276.23258380551,275.4112755776412,SAI
