Minisector,VER,HAM,Fastest
0,255.10535934587807,257.2236889371072,HAM
1,221.06995080230539,209.86730726007374,VER
2,204.2910102196425,209.62164037825912,HAM
3,258.21282116633864,257.55990673070306,VER
4,275.2517346723527,270.4795400156136,VER
5,287.6114851605995,289.60453882962406,HAM
6,170.07505059601982,167.94760553033365,VER
7,189.88894623765142,187.52726626725328,VER
8,269.6307264470532,268.3444951776439,VER
9,292.7562139120273,294.92714277128965,HAM
10,303.24102307850285,306.3694978079863,HAM
11,300.37806178232415,307.32139562843514,HAM
12,119.6658958055113,117.12863188895501,VER
13,184.15423425565527,188.3842693018951,HAM
14,270.394618400106,271.046427950007,HAM
15,295.28921844631805,296.41656511184533,HAM
16,297.66439393939396,302.464179970064,HAM
17,190.2776190111083,187.6119116821041,VER
18,226.31682827383847,222.6534680041274,VER
19,268.38559063499935,270.73464635604813,HAM
20,156.42020245986512,155.16510359401067,VER
21,155.0551019907787,148.0823856045632,VER
22,222.5148559035716,223.08130583341847,HAM
23,237.35938071194778,225.1813069635208,VER
24,165.02075413376258,163.0469159297226,VER
25,230.208336,,VER
