Minisector,PER,OCO,Fastest
0,294.6921589057326,317.55666613333335,OCO
1,296.8675438596491,329.25019495416444,OCO
2,297.479443608638,335.0196759703704,OCO
3,234.42567811638443,222.14407216410257,PER
4,238.29982697777777,224.550350288276,PER
5,116.89174986755519,113.11858225613925,PER
6,220.06779163700753,212.3617548952381,PER
7,269.55995637056276,264.3948406349206,PER
8,236.09000213333331,229.03715729649124,PER
9,117.34116683319613,115.78655502007359,PER
10,236.67059034273063,232.26583244190476,PER
11,258.0843617108225,243.49891334492753,PER
12,140.98118154374473,135.12698883809523,PER
13,212.3438261728395,210.85333892563827,PER
14,268.5675167419501,266.1826294372294,PER
15,229.12268634074076,225.32167758262858,PER
16,161.38434777955138,156.54670936140352,PER
17,242.65362286376813,234.55413741265704,PER
18,128.7368824033553,125.08254001178956,PER
19,147.83117479751365,145.68604195047618,PER
20,191.99755673431858,185.27756199351938,PER
21,257.7399509193936,254.52800140455486,PER
22,275.1484068366888,273.3254972140888,PER
23,280.1897915504762,282.20456335238094,OCO
24,289.4846540631649,291.68139075689226,OCO
25,,295.9541664,OCO
