Minisector,SAI,HAM,Fastest
0,312.5353164600823,300.9833785154457,SAI
1,235.0895706247737,239.17894738728347,HAM
2,132.02538136495357,144.4580058181439,HAM
3,221.84879960401395,223.16280782271892,HAM
4,267.38726957615023,265.98172298001623,SAI
5,292.76299749955314,291.0636072296228,SAI
6,306.5544444444444,305.6183913155296,SAI
7,272.0605709893253,285.5165503717188,HAM
8,169.27621780108925,182.1755850258952,HAM
9,243.68251554644203,244.21029306591578,HAM
10,271.538935667934,273.9256556052664,HAM
11,256.50272524173107,266.9857757225133,HAM
12,203.80089739686605,213.8086874608489,HAM
13,125.59257865018508,136.1073101225657,HAM
14,122.77861680437013,128.42219186399979,HAM
15,162.79798472632584,173.11894836938518,HAM
16,125.26344055639986,127.22237092015644,HAM
17,227.06144558288236,232.90888783923344,HAM
18,180.46015301482032,200.94492378598565,HAM
19,162.12030464545433,166.7461475040127,HAM
20,250.42656422149125,246.66442698792358,SAI
21,279.613330187894,274.90390727447823,SAI
22,295.2366666666667,292.69839491383385,SAI
23,303.08919994416283,302.2779138236363,SAI
24,307.1763889777778,308.2305789007575,HAM
25,309.0,308.0,SAI
