Minisector,ALO,HUL,Fastest
0,295.1608776186855,302.70646268084056,HUL
1,205.57159297715967,210.02288482742858,HUL
2,231.70621436695538,232.14329946984626,HUL
3,275.6912539758764,277.6938724005037,HUL
4,243.1329892340765,241.95144930771525,ALO
5,126.65536895300485,123.33525676541089,ALO
6,213.39210877434218,210.09091072096567,ALO
7,261.6223917464965,259.84745355008135,ALO
8,250.91181712563147,253.367295363826,HUL
9,241.990947733258,236.19571158603173,ALO
10,276.4201978074805,279.22951920728457,HUL
11,291.24505075641343,299.0533918236883,HUL
12,299.61241124631186,309.8495472422804,HUL
13,303.0483135153439,313.5455101910204,HUL
14,302.9041351111111,313.20320299744105,HUL
15,254.42279926153847,252.94018758523,ALO
16,247.83372935542064,241.71711537826152,ALO
17,280.9189931786391,281.70333976038637,HUL
18,291.389005534446,296.73506885854636,HUL
19,169.8178786918326,162.64560008626438,ALO
20,214.58575013200792,207.8418385802299,ALO
21,193.47454875374947,188.83982711087197,ALO
22,143.00049449116236,138.9512144809524,ALO
23,241.75787555787585,240.53967859456176,ALO
24,283.19335609904766,284.07092893669204,HUL
25,,299.1222215111111,HUL
