Minisector,VER,TSU,Fastest
0,293.57127179415204,294.7299877512739,TSU
1,305.21476330857143,306.6285052667403,TSU
2,306.00955800612047,306.52482978500797,TSU
3,183.8400800705627,182.8513619963049,VER
4,207.56010171205634,213.29179264804077,TSU
5,204.41704619716714,200.89765470071475,VER
6,265.4221967390846,261.569631482353,VER
7,253.37194707587878,251.68250443015057,VER
8,215.58410068108745,206.00186803480844,VER
9,211.27662504284618,206.47329936317433,VER
10,137.5280878931813,143.04992517242675,TSU
11,199.8414743325115,188.0265417222487,VER
12,186.36735389043466,194.22750103688264,TSU
13,253.22360678203523,250.707417781271,VER
14,181.99060983601188,177.2626754241512,VER
15,234.2235500627141,237.40435284799835,TSU
16,279.37042871497584,282.09499796680274,TSU
17,291.3988465200823,293.02111108972593,TSU
18,288.42167149144757,284.3273875705041,VER
19,274.7563621670838,263.6419458588669,VER
20,267.4846153500831,259.44273127660796,VER
21,265.99344471979737,265.1665437385621,VER
22,235.56926485292385,223.2041361393668,VER
23,205.57027775415318,211.94705395418805,TSU
24,269.1423797974773,271.5020740941774,TSU
